,lat,lon,analysed_spim
431,42.53,3.99,0.2699999939650297
432,42.53,4.005,0.25999999418854713
433,42.53,4.02,0.24999999441206455
434,42.53,4.035,0.2699999939650297
435,42.53,4.05,0.2899999935179949
436,42.53,4.065,0.2899999935179949
437,42.53,4.08,0.29999999329447746
438,42.53,4.095,0.2899999935179949
439,42.53,4.11,0.2899999935179949
440,42.53,4.125,0.29999999329447746
441,42.53,4.14,0.2799999937415123
442,42.53,4.155,0.2799999937415123
443,42.53,4.17,0.2799999937415123
444,42.53,4.185,0.2699999939650297
445,42.53,4.2,0.2799999937415123
446,42.53,4.215,0.2799999937415123
447,42.53,4.23,0.2799999937415123
448,42.53,4.245,0.2699999939650297
449,42.53,4.26,0.25999999418854713
450,42.53,4.275,0.24999999441206455
451,42.53,4.29,0.2299999948590994
452,42.53,4.305,0.23999999463558197
453,42.53,4.32,0.24999999441206455
454,42.53,4.335,0.24999999441206455
455,42.53,4.35,0.24999999441206455
456,42.53,4.365,0.24999999441206455
457,42.53,4.38,0.23999999463558197
458,42.53,4.395,0.23999999463558197
459,42.53,4.41,0.24999999441206455
460,42.53,4.425,0.25999999418854713
461,42.53,4.44,0.2699999939650297
462,42.53,4.455,0.25999999418854713
463,42.53,4.47,0.24999999441206455
464,42.53,4.485,0.25999999418854713
465,42.53,4.5,0.24999999441206455
466,42.53,4.515,0.23999999463558197
467,42.53,4.53,0.25999999418854713
468,42.53,4.545,0.23999999463558197
469,42.53,4.56,0.25999999418854713
470,42.53,4.575,0.24999999441206455
471,42.53,4.59,0.2299999948590994
472,42.53,4.605,0.2299999948590994
