,lat,lon,analysed_spim,plume
676,49.18,0.105,,False
677,49.18,0.12,,False
678,49.18,0.135,,False
679,49.18,0.15,,False
680,49.18,0.165,,False
681,49.18,0.18,,False
682,49.18,0.195,,False
683,49.18,0.21,,False
684,49.18,0.225,,False
685,49.18,0.24,,False
686,49.18,0.255,,False
687,49.18,0.27,,False
688,49.18,0.285,,False
689,49.18,0.3,,False
690,49.18,0.315,,False
691,49.18,0.33,,False
692,49.18,0.345,,False
693,49.18,0.36,,False
694,49.18,0.375,,False
695,49.18,0.39,,False
696,49.18,0.405,,False
697,49.18,0.42,,False
698,49.18,0.435,,False
699,49.18,0.45,,False
700,49.18,0.465,,False
701,49.18,0.48,,False
702,49.18,0.495,,False
703,49.18,0.51,,False
704,49.18,0.525,,False
705,49.18,0.54,,False
706,49.18,0.555,,False
707,49.18,0.57,,False
708,49.18,0.585,,False
709,49.18,0.6,,False
710,49.18,0.615,,False
711,49.18,0.63,,False
712,49.18,0.645,,False
713,49.18,0.66,,False
714,49.18,0.675,,False
715,49.18,0.69,,False
716,49.18,0.705,,False
717,49.18,0.72,,False
718,49.18,0.735,,False
719,49.18,0.75,,False
720,49.18,0.765,,False
721,49.18,0.78,,False
722,49.18,0.795,,False
723,49.18,0.81,,False
724,49.18,0.825,,False
725,49.18,0.84,,False
726,49.18,0.855,,False
727,49.18,0.87,,False
728,49.18,0.885,,False
729,49.18,0.9,,False
730,49.18,0.915,,False
731,49.18,0.93,,False
732,49.18,0.945,,False
733,49.18,0.96,,False
734,49.18,0.975,,False
735,49.18,0.99,,False
736,49.18,1.005,,False
737,49.18,1.02,,False
738,49.18,1.035,,False
739,49.18,1.05,,False
740,49.18,1.065,,False
741,49.18,1.08,,False
742,49.18,1.095,,False
743,49.18,1.11,,False
744,49.18,1.125,,False
745,49.18,1.14,,False
746,49.18,1.155,,False
747,49.18,1.17,,False
748,49.18,1.185,,False
749,49.18,1.2,,False
750,49.18,1.215,,False
751,49.18,1.23,,False
752,49.18,1.245,,False
753,49.18,1.26,,False
754,49.18,1.275,,False
755,49.18,1.29,,False
756,49.18,1.305,,False
757,49.18,1.32,,False
758,49.18,1.335,,False
759,49.18,1.35,,False
760,49.18,1.365,,False
761,49.18,1.38,,False
762,49.18,1.395,,False
763,49.18,1.41,,False
764,49.18,1.425,,False
765,49.18,1.44,,False
766,49.18,1.455,,False
767,49.18,1.47,,False
768,49.18,1.485,,False
769,49.18,1.5,,False
770,49.18,1.515,,False
771,49.18,1.53,,False
772,49.18,1.545,,False
773,49.18,1.56,,False
774,49.18,1.575,,False
775,49.18,1.59,,False
776,49.18,1.605,,False
777,49.18,1.62,,False
778,49.18,1.635,,False
779,49.18,1.65,,False
780,49.18,1.665,,False
781,49.18,1.68,,False
782,49.18,1.695,,False
783,49.18,1.71,,False
784,49.18,1.725,,False
785,49.18,1.74,,False
786,49.18,1.755,,False
787,49.18,1.77,,False
788,49.18,1.785,,False
789,49.18,1.8,,False
790,49.18,1.815,,False
791,49.18,1.83,,False
792,49.18,1.845,,False
793,49.18,1.86,,False
794,49.18,1.875,,False
795,49.18,1.89,,False
796,49.18,1.905,,False
797,49.18,1.92,,False
798,49.18,1.935,,False
799,49.18,1.95,,False
800,49.18,1.965,,False
801,49.18,1.98,,False
802,49.18,1.995,,False
850,49.19,-1.5,,False
851,49.19,-1.485,,False
852,49.19,-1.47,,False
853,49.19,-1.455,,False
854,49.19,-1.44,,False
855,49.19,-1.425,,False
856,49.19,-1.41,,False
857,49.19,-1.395,,False
858,49.19,-1.38,,False
859,49.19,-1.365,,False
860,49.19,-1.35,,False
861,49.19,-1.335,,False
862,49.19,-1.32,,False
863,49.19,-1.305,,False
864,49.19,-1.29,,False
865,49.19,-1.275,,False
866,49.19,-1.26,,False
867,49.19,-1.245,,False
868,49.19,-1.23,,False
869,49.19,-1.215,,False
870,49.19,-1.2,,False
871,49.19,-1.185,,False
872,49.19,-1.17,,False
873,49.19,-1.155,,False
874,49.19,-1.14,,False
875,49.19,-1.125,,False
876,49.19,-1.11,,False
877,49.19,-1.095,,False
878,49.19,-1.08,,False
879,49.19,-1.065,,False
880,49.19,-1.05,,False
881,49.19,-1.035,,False
882,49.19,-1.02,,False
883,49.19,-1.005,,False
884,49.19,-0.99,,False
885,49.19,-0.975,,False
886,49.19,-0.96,,False
887,49.19,-0.945,,False
888,49.19,-0.93,,False
889,49.19,-0.915,,False
890,49.19,-0.9,,False
891,49.19,-0.885,,False
892,49.19,-0.87,,False
893,49.19,-0.855,,False
