,longitude,latitude,distance_km,analysed_spim,kept
64,4.785,43.3,5.34914041596872,5.049999887123704,True
65,4.77,43.29,6.935086438395945,4.5099998991936445,True
66,4.755,43.29,8.02371062395308,4.049999909475446,True
67,4.74,43.28,9.604533571161676,3.8099999148398638,True
68,4.725,43.28,10.69828083193744,3.9299999121576548,True
69,4.71,43.27,12.276211057406716,3.899999912828207,True
70,4.695,43.27,13.3728510399218,3.7499999161809683,True
71,4.68,43.26,14.948923115973713,3.729999916628003,True
72,4.665,43.26,16.04742124790616,3.779999915510416,True
73,4.65,43.25,17.622199020651948,3.299999926239252,True
74,4.635,43.25,18.72199145589052,3.2699999269098043,True
75,4.62,43.24,20.295815970650573,2.9999999329447746,True
76,4.605,43.24,21.39656166387488,3.009999932721257,True
77,4.59,43.23,22.96965487551866,2.74999993853271,True
78,4.575,43.23,24.07113187185924,2.6399999409914017,False
79,4.56,43.22,25.643646306273148,2.339999947696924,False
80,4.545,43.22,26.7457020798436,2.269999949261546,False
81,4.53,43.21,28.317747054751898,2.1899999510496855,False
82,4.515,43.21,29.420272287827963,2.0899999532848597,False
83,4.5,43.2,30.991928823928628,1.9899999555200338,False
84,4.485,43.2,32.09484249581232,1.9299999568611383,False
85,4.47,43.19,33.66617230682576,1.699999962002039,False
86,4.455,43.19,34.76941270379668,1.409999968484044,False
87,4.44,43.18,36.3404638791689,1.0799999758601189,False
88,4.425,43.18,37.44398291178104,0.7599999830126762,False
89,4.41,43.17,39.01479365200274,0.5699999872595072,False
90,4.845,43.32,0.0,11.429999744519591,True
91,4.83,43.31,1.6468443367701215,9.559999786317348,True
92,4.815,43.3,3.293688673540243,7.799999825656414,True
93,4.8,43.29,4.940533010310364,5.349999880418181,True
94,4.785,43.29,5.896756339239931,4.709999894723296,True
95,4.77,43.28,7.531084178024184,4.469999900087714,True
96,4.755,43.27,9.169891766411952,4.29999990388751,True
97,4.74,43.26,10.81114210701334,4.379999902099371,True
98,4.725,43.26,11.793512678479862,3.829999914392829,True
99,4.71,43.25,13.426311190053402,3.759999915957451,True
100,4.695,43.24,15.062168356048367,3.919999912381172,True
101,4.68,43.23,16.70018537438552,4.25999990478158,True
102,4.665,43.23,17.690269017719796,3.8899999130517244,True
103,4.65,43.22,19.3224715317827,3.829999914392829,True
104,4.635,43.21,20.95696511456066,3.5299999210983515,True
105,4.62,43.2,22.59325253407255,3.209999928250909,True
106,4.605,43.2,23.587025356959725,2.539999943226576,False
107,4.59,43.19,25.218910576582907,2.249999949708581,False
108,4.575,43.18,26.852622380106805,2.029999954625964,False
109,4.56,43.17,28.487846518237284,1.7299999613314867,False
110,4.545,43.17,29.483781696199657,1.7099999617785215,False
111,4.53,43.16,31.11546988061646,1.3999999687075615,False
112,4.515,43.15,32.74867541158032,0.9999999776482582,False
113,4.5,43.14,34.38318206730792,0.7799999825656414,False
114,4.485,43.14,35.38053803543959,0.7699999827891588,False
115,4.47,43.13,37.012091966844395,0.6399999856948853,False
116,4.455,43.12,38.6449430635654,0.6399999856948853,False
117,4.44,43.11,40.278933570160206,0.5599999874830246,False
118,4.425,43.11,41.27729437467952,0.5099999886006117,False
119,4.41,43.1,42.908750952241405,0.5999999865889549,False
120,4.845,43.32,0.0,11.429999744519591,True
121,4.83,43.31,1.6468443367701215,9.559999786317348,True
122,4.815,43.3,3.293688673540243,7.799999825656414,True
123,4.8,43.29,4.940533010310364,5.349999880418181,True
124,4.785,43.28,6.587377347080486,4.949999889358878,True
125,4.77,43.27,8.234221683850608,4.479999899864197,True
126,4.755,43.26,9.881066020620729,4.559999898076057,True
127,4.74,43.25,11.527910357390851,4.659999895840883,True
