source,site,lon,lat,zone
REPHY,Ile Dumet (a),-2.590322,47.42117,SOUTHERN_BRITTANY
REPHY,Pointe du Bile,-2.48763,47.43974,SOUTHERN_BRITTANY
REPHY,Pointe Castelli,-2.5598328271,47.3781616126,SOUTHERN_BRITTANY
REPHY,Pont Mahé Eau,-2.47915,47.43228,SOUTHERN_BRITTANY
REPHY,Penerf,-2.616504012,47.5154976511,SOUTHERN_BRITTANY
REPHY,Pointe er Fosse Eau,-2.63787,47.50887,SOUTHERN_BRITTANY
REPHY,Le Halguen,-2.492189,47.501564,SOUTHERN_BRITTANY
REPHY,Le Scal,-2.4470003565,47.4946657798,SOUTHERN_BRITTANY
REPHY,Trehiguier,-2.439000196,47.4941658605,SOUTHERN_BRITTANY
REPHY,Kervoyal Eau,-2.52518,47.50615,SOUTHERN_BRITTANY
REPHY,Pointe Pen Bé,-2.4589987205,47.4211638367,SOUTHERN_BRITTANY
REPHY,Le Croisic (a),-2.5141633556,47.2999935692,SOUTHERN_BRITTANY
REPHY,Pointe de Chemoulin (a),-2.3016577218,47.2311610212,SOUTHERN_BRITTANY
REPHY,Port Lin,-2.5088295232,47.2839932414,SOUTHERN_BRITTANY
REPHY,Bonne Source,-2.3364921796,47.2504944223,SOUTHERN_BRITTANY
REPHY,Beauvoir - le Gois,-2.113646771,46.9278225157,SOUTHERN_BRITTANY
REPHY,Coupelasse-Fiol,-2.0344809216,47.0208256656,SOUTHERN_BRITTANY
REPHY,Gresseloup,-2.1336475796,46.9458227192,SOUTHERN_BRITTANY
REPHY,Bois de la Chaise (a),-2.2121504309,47.0031565314,SOUTHERN_BRITTANY
REPHY,Claire Durand,-1.9953144514,47.058327022,SOUTHERN_BRITTANY
REPHY,La Guérinière,-2.2299831673,46.9654887524,SOUTHERN_BRITTANY
REPHY,Ile d'Yeu,-2.3391459023,46.7223150139,SOUTHERN_BRITTANY
REPHY,Frandière,-2.1744809427,46.9163215412,SOUTHERN_BRITTANY
REPHY,Ile d'Yeu est,-2.293629,46.710655,SOUTHERN_BRITTANY
REPHY,La Sablaire,-2.3239791244,46.7291486838,SOUTHERN_BRITTANY
REPHY,Dunes de Brétignolles,-1.842746,46.590478,SOUTHERN_BRITTANY
REPHY,Remblai,-1.7842968531,46.4913158623,BAY_OF_BISCAY
REPHY,La Cotinière,-1.3251082364,45.9124741564,BAY_OF_BISCAY
REPHY,Fosse Loix,-1.4079503774,46.2276472339,BAY_OF_BISCAY
REPHY,La Passe des Esnandais (terre),-1.31541,46.3035,BAY_OF_BISCAY
REPHY,L'Eperon (terre),-1.23999333700977,46.2693399312656,BAY_OF_BISCAY
REPHY,La Carrelère,-1.2001132535,46.2299829522,BAY_OF_BISCAY
REPHY,Baie d'Yves (a),-1.11274,46.01737,BAY_OF_BISCAY
REPHY,Ile d'Aix,-1.15275,46.016405,BAY_OF_BISCAY
REPHY,Le Cornard,-1.130607923,46.0551463,BAY_OF_BISCAY
REPHY,Bouée des palles,-1.1597736854,45.992311184,BAY_OF_BISCAY
REPHY,Boyard,-1.2084407079,45.9686434253,BAY_OF_BISCAY
REPHY,St Froult,-1.1222713408,45.9201432603,BAY_OF_BISCAY
REPHY,Le Chapus (a),-1.1789375321,45.8534744213,BAY_OF_BISCAY
REPHY,Auger,-1.20527,45.799805,BAY_OF_BISCAY
REPHY,Teychan bis,-1.158577776,44.6736148046,BAY_OF_BISCAY
REPHY,Hossegor amont,-1.4300618057,43.6774239958,NA
REPHY,Point 1 Boulogne,1.5486581799,50.7531320816,NA
REPHY,Bassin Napoléon,1.5958266897,50.7239651237,NA
REPHY,Passerelle RO-RO,1.5674926782,50.7264648694,NA
REPHY,Salmona cage,-1.6238762573,49.6733982962,NA
REPHY,Pirou Bergerie Sud,-1.605166667,49.14666667,NA
REPHY,Bricqueville sud,-1.5775,48.91333333,NA
REPHY,Granville,-1.5983527691,48.8393764547,NA
REPHY,Pointe Agon sud,-1.602833333,48.99766667,NA
REPHY,Cancale nord (b),-1.8447347942,48.6762126503,NA
REPHY,Le Douron,-3.6420536352,48.6791813511,NA
REPHY,Beg Douar,-3.6155532845,48.6841817981,NA
REPHY,Locquemeau,-3.583380525,48.726148574999996,NA
REPHY,Port Diben,-3.8282245203,48.7081798487,NA
REPHY,Pont de la Corde,-3.9533002222,48.6455288889,NA
REPHY,Goaz ar Rous,-3.9425572402,48.6098426247,NA
REPHY,Baie de Lampaul,-5.1032403504,48.4491577943,NA
REPHY,Keramoal,-4.5717339631,48.5611670975,NA
REPHY,Le Guern,-4.3400588595,48.4056659834,NA
REPHY,Roscanvel (a),-4.5440600551,48.3151612408,NA
REPHY,Lanvéoc,-4.4588912557,48.2928283791,NA
REPHY,Quai Thephany,-4.5903931602,48.2763263744,NA
REPHY,Baie de Douarnenez,-4.3920532209,48.1633259518,NA
REPHY,Men Du,-3.8400329464,47.7733229083,SOUTHERN_BRITTANY
REPHY,Ile Tudy,-4.1708741903,47.8483208059,SOUTHERN_BRITTANY
REPHY,Pendruc,-3.8913687437,47.8319904089,SOUTHERN_BRITTANY
REPHY,Porsmoric (a),-3.5321438039,47.781966723850005,SOUTHERN_BRITTANY
REPHY,Port de Bélon,-3.705031568,47.8136588417,SOUTHERN_BRITTANY
REPHY,Rosbraz,-3.7441991302,47.8208252194,SOUTHERN_BRITTANY
REPHY,Kérivor Eau,-3.10869,47.56383,SOUTHERN_BRITTANY
REPHY,Kerisper,-3.02267,47.59215,SOUTHERN_BRITTANY
REPHY,Karrec-Rouz,-2.98516,47.5664,SOUTHERN_BRITTANY
REPHY,Le Guilvin,-2.9331778876,47.5701619583,SOUTHERN_BRITTANY
REPHY,Pornichet,-2.3480696111499997,47.25852409985,SOUTHERN_BRITTANY
REPHY,Estuaire (b),-2.227656024,47.2178282183,SOUTHERN_BRITTANY
REPHY,Joalland (a),-2.2214877992,47.1596602093,SOUTHERN_BRITTANY
REPHY,Pointe St Gildas (a),-2.2461544253,47.1396594397,SOUTHERN_BRITTANY
REPHY,St Jean de Mont,-2.0861428037,46.7856527558,SOUTHERN_BRITTANY
REPHY,Ecocéan,-1.5590839978,44.6281094387,BAY_OF_BISCAY
REPHY,Rochers verts,-1.8471334363,46.5791505631,SOUTHERN_BRITTANY
REPHY,Les Sables,-1.7932969712,46.489315713,BAY_OF_BISCAY
REPHY,Filière w,-1.376951,46.278149,BAY_OF_BISCAY
REPHY,Large Porge océan,-1.2910847142,44.8846179866,BAY_OF_BISCAY
REPHY,Large Cap Ferret,-1.3209131494,44.6322787997,BAY_OF_BISCAY
REPHY,Ouest Mimizan,-1.4424058742,44.1861012102,NA
REPHY,Large Capbreton,-1.481228678,43.6432560718,NA
REPHY,Point 1 Dunkerque,2.3334994588,51.0686501641,NA
REPHY,Antifer ponton pêche,0.151624,49.651367,BAY_OF_SEINE
REPHY,Pointe du Roc,-1.6195196786,48.8332093785,NA
REPHY,Port Saint Hubert,-1.97261637,48.53543816,NA
REPHY,Tour Solidor,-2.0266888084,48.634032753,NA
REPHY,Le Vallion,-1.9826868727,48.5930322119,NA
REPHY,Erquy,-2.4863643751,48.6406941644,NA
REPHY,Dahouët,-2.57168732,48.5803898,NA
REPHY,Le Légué - Pointe de Cesson,-3.1532301167499996,48.62765947725,NA
REPHY,Roche Jagu,-3.1485459837,48.7335220033,NA
REPHY,Tréguier pont,-3.2197154061,48.7856891611,NA
REPHY,Baie de Vierge,-3.5405531741,48.7305172217,NA
REPHY,Pors Nevez,-3.5222195387,48.7318508098,NA
REPHY,Ile Grande,-3.58595861,48.7948455,NA
REPHY,Treglonou,-4.5353997696,48.5536673496,NA
REPHY,Trevors,-4.6360690738,48.5836668838,NA
REPHY,St Fiacre,-4.5338924765,48.2883273588,NA
REPHY,Carrec Bouzen,-3.9430365242,47.8389899653,SOUTHERN_BRITTANY
REPHY,Galèze,-3.3158561447,47.7486618503,SOUTHERN_BRITTANY
REPHY,Le Pradic,-3.2067222222,47.65225,SOUTHERN_BRITTANY
REPHY,Roquenec,-3.20876,47.66636,SOUTHERN_BRITTANY
REPHY,Moulin Sach,-3.1876848723,47.6609945348,SOUTHERN_BRITTANY
REPHY,Bignac,-3.1898516129,47.6623278754,SOUTHERN_BRITTANY
REPHY,Houat,-2.94631509010016,47.406346294472065,SOUTHERN_BRITTANY
REPHY,Beaumer (b),-3.0336795589,47.5636606199,SOUTHERN_BRITTANY
REPHY,NE Dupuch,-3.0560125105,47.5328262683,SOUTHERN_BRITTANY
REPHY,Souris,-3.0196784628,47.5308266455,SOUTHERN_BRITTANY
REPHY,Plijadur,-3.0450137274,47.5881610884,SOUTHERN_BRITTANY
REPHY,Pointe Colomban,-3.0996806139,47.5578263685,SOUTHERN_BRITTANY
REPHY,Treho,-3.0135124342,47.5601607707,SOUTHERN_BRITTANY
REPHY,Buisson Méaban,-2.9746775514,47.5273270874,SOUTHERN_BRITTANY
REPHY,Truscat,-2.7550073488,47.5464967957,SOUTHERN_BRITTANY
REPHY,Chimère,-2.8988416626,47.4814935193,SOUTHERN_BRITTANY
REPHY,Penvins,-2.6680041174,47.4823295696,SOUTHERN_BRITTANY
REPHY,Cofreneau,-2.503667943,47.4896649976,SOUTHERN_BRITTANY
REPHY,Merquel,-2.46666444245,47.42102721335,SOUTHERN_BRITTANY
REPHY,Fromentine,-2.1409797443,46.89248802,SOUTHERN_BRITTANY
REPHY,Ecluse Gachère,-1.8464669128,46.5856507249,SOUTHERN_BRITTANY
REPHY,Brouage,-1.1251043345,45.9029761645,BAY_OF_BISCAY
REPHY,Mérignac,-1.1342708472,45.888809068,BAY_OF_BISCAY
REPHY,Perquis,-1.1767695443,45.797139813,BAY_OF_BISCAY
REPHY,Cotard,-1.1112678391,45.7751400337,BAY_OF_BISCAY
REPHY,Bouée de St Georges,-1.0184284369,45.5816366253,BAY_OF_BISCAY
REPHY,Arcachon - Bouée 7,-1.2637435339,44.5422774676,BAY_OF_BISCAY
REPHY,Hossegor,-1.4297141147999999,43.665828529600006,NA
REPHY,Pointe de St Quentin,1.52853333,50.2808,NA
REPHY,Dieppe,1.0528367467,49.9556039343,NA
REPHY,Jetée Dieppe,1.0848382579,49.9249367848,NA
REPHY,Dieppe 1 mille,1.052837178,49.9399368336,NA
REPHY,St Aubin Seine Maritime,0.8653344009,49.899100219,NA
REPHY,Bouée Carosse,0.0253285446,49.4842458575,BAY_OF_SEINE
REPHY,Deauville,0.0586658739,49.3619096055,BAY_OF_SEINE
